Altium Designer Pick and Place Locations
F:\Fully_Autonomous_MAV_YanQi_V4.0\YanQi_PCB_Project\FlightControlBoard\Project Outputs for FlightControlBoard\Pick Place for FlightControlBoard.csv

========================================================================================================================
File Design Information:

Date:       06/03/25
Time:       22:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R23","10k次","BottomLayer","R0201","657.480","263.779","90",""
"R22","10k次","BottomLayer","R0201","275.591","1259.842","0",""
"R21","10k次","BottomLayer","R0201","275.591","1230.315","0",""
"R20","10k次","BottomLayer","R0201","366.142","1350.394","270",""
"R19","10k次","BottomLayer","R0201","275.591","413.386","0",""
"R18","10k次","BottomLayer","R0201","275.591","383.858","0",""
"R17","10k次","BottomLayer","R0201","366.142","503.937","270",""
"R16","10k次","BottomLayer","R0201","748.032","1200.787","180",""
"R15","10k次","BottomLayer","R0201","748.032","1230.315","180",""
"R14","10k次","BottomLayer","R0201","657.480","1110.236","90",""
"R13","10k次","BottomLayer","R0201","681.102","523.622","90",""
"R12","10k次","BottomLayer","R0201","342.520","1090.551","270",""
"R11","10k次","BottomLayer","R0201","342.520","244.095","270",""
"R10","10k次","BottomLayer","R0201","681.102","1370.079","90",""
"R9","1k次","BottomLayer","R0201","610.236","263.779","270",""
"R8","1k次","BottomLayer","R0201","413.386","1350.394","90",""
"R7","1k次","BottomLayer","R0201","413.386","503.937","90",""
"R6","1k次","BottomLayer","R0201","610.236","1110.236","270",""
"R2","10k次","TopLayer","R0201","283.465","708.661","180",""
"R1","10k次","TopLayer","R0201","657.480","704.724","90",""
"Q12","AON7934","BottomLayer","DFN-8","866.142","283.465","0",""
"Q11","AON7934","BottomLayer","DFN-8","866.142","488.189","0",""
"Q10","AON7934","TopLayer","DFN-8","157.480","1244.094","180",""
"Q9","AON7934","TopLayer","DFN-8","157.480","488.189","180",""
"Q8","AON7934","TopLayer","DFN-8","157.480","283.465","180",""
"Q7","AON7934","BottomLayer","DFN-8","866.142","1244.094","0",""
"Q6","AON7934","TopLayer","DFN-8","866.142","370.079","0",""
"Q5","AON7934","BottomLayer","DFN-8","157.480","1330.709","180",""
"Q4","AON7934","BottomLayer","DFN-8","157.480","1125.984","180",""
"Q3","AON7934","BottomLayer","DFN-8","157.480","370.079","180",""
"Q2","AON7934","TopLayer","DFN-8","866.142","1125.984","0",""
"Q1","AON7934","TopLayer","DFN-8","866.142","1330.709","0",""
"P29","Power_Pad","TopLayer","POWER_HALF_HOLE","992.126","866.142","0",""
"P27","Power_Pad","TopLayer","POWER_HALF_HOLE","992.126","629.921","0",""
"P26","Power_Pad","TopLayer","POWER_HALF_HOLE","992.126","984.252","0",""
"P13","BurnPad","BottomLayer","BURNPAD_0.8MM","295.276","830.709","90",""
"P12","BurnPad","BottomLayer","BURNPAD_0.8MM","295.276","885.827","90",""
"P11","BurnPad","BottomLayer","BURNPAD_0.8MM","295.276","940.945","90",""
"P10","BurnPad","BottomLayer","BURNPAD_0.8MM","295.276","996.063","90",""
"P9","BurnPad","BottomLayer","BURNPAD_0.5MM","539.370","287.402","180",""
"P8","BurnPad","BottomLayer","BURNPAD_0.5MM","578.740","287.402","180",""
"P7","BurnPad","BottomLayer","BURNPAD_0.5MM","484.252","1326.772","180",""
"P6","BurnPad","BottomLayer","BURNPAD_0.5MM","444.882","1326.772","180",""
"P5","BurnPad","BottomLayer","BURNPAD_0.5MM","484.252","480.315","180",""
"P4","BurnPad","BottomLayer","BURNPAD_0.5MM","444.882","480.315","180",""
"P3","BurnPad","BottomLayer","BURNPAD_0.5MM","539.370","1133.858","270",""
"P2","BurnPad","BottomLayer","BURNPAD_0.5MM","578.740","1133.858","270",""
"P1","ShortCircuitPad","BottomLayer","SHORTCIRCUITPAD","295.276","748.031","270",""
"LED1","FC-B1010RGBT-HG","TopLayer","LED-ARRAY-SMD_4P-L1.0-W1.0-TR-RD","716.535","834.646","270",""
"L2","FHD4020S-4R7MT","BottomLayer","IND-SMD_L4.0-W4.0","720.472","700.787","270",""
"L1","FHD4020S-100MT","BottomLayer","IND-SMD_L4.0-W4.0","720.472","913.386","90",""
"H4","M3_HOLE","TopLayer","M3_HOLE","905.512","118.110","0",""
"H3","M3_HOLE","TopLayer","M3_HOLE","118.110","118.110","0",""
"H2","M3_HOLE","TopLayer","M3_HOLE","905.512","1496.063","0",""
"H1","M3_HOLE","TopLayer","M3_HOLE","118.110","1496.063","0",""
"D12","1N4148WT T4","TopLayer","SOD-523","748.032","295.276","0",""
"D11","1N4148WT T4","TopLayer","SOD-523","748.032","413.386","0",""
"D10","1N4148WT T4","TopLayer","SOD-523","748.032","531.496","0",""
"D9","1N4148WT T4","TopLayer","SOD-523","275.591","1318.898","180",""
"D8","1N4148WT T4","TopLayer","SOD-523","275.591","1200.787","180",""
"D7","1N4148WT T4","TopLayer","SOD-523","275.591","1082.677","180",""
"D6","1N4148WT T4","TopLayer","SOD-523","275.591","472.441","180",""
"D5","1N4148WT T4","TopLayer","SOD-523","275.591","354.331","180",""
"D4","1N4148WT T4","TopLayer","SOD-523","275.591","236.220","180",""
"D3","1N4148WT T4","TopLayer","SOD-523","748.032","1141.732","0",""
"D2","1N4148WT T4","TopLayer","SOD-523","748.032","1259.842","0",""
"D1","1N4148WT T4","TopLayer","SOD-523","748.032","1377.953","0",""
"C65","22uF","BottomLayer","C0805","866.142","1122.047","180",""
"C63","22uF","BottomLayer","C0805","866.142","1358.268","180",""
"C61","22uF","BottomLayer","C0805","897.638","649.606","90",""
"C59","22uF","BottomLayer","C0805","834.646","649.606","90",""
"C57","22uF","BottomLayer","C0805","834.646","964.567","90",""
"C55","22uF","BottomLayer","C0805","897.638","807.087","270",""
"C53","22uF","BottomLayer","C0805","834.646","807.087","270",""
"C52","1nF","TopLayer","C0201","651.575","1011.811","270",""
"C51","100nF","TopLayer","C0201","240.157","643.701","90",""
"C50","100nF","TopLayer","C0201","240.157","781.496","90",""
"C49","1uF","TopLayer","C0402","240.157","694.882","270",""
"C48","1uF","TopLayer","C0402","240.157","832.677","270",""
"C47","100nF","TopLayer","C0201","503.937","968.504","180",""
"C46","1uF","TopLayer","C0402","59.055","694.882","270",""
"C45","1uF","TopLayer","C0402","59.055","832.677","270",""
"C44","100nF","TopLayer","C0201","744.095","1023.622","0",""
"C43","100nF","TopLayer","C0201","834.646","622.047","180",""
"C42","100nF","TopLayer","C0201","834.646","669.291","180",""
"C41","100nF","TopLayer","C0201","657.480","976.378","0",""
"C40","100nF","TopLayer","C0201","657.480","929.134","0",""
"C39","22uF","TopLayer","C0603","801.181","769.685","0",""
"C38","22uF","TopLayer","C0603","842.520","582.677","180",""
"C37","22uF","TopLayer","C0603","748.032","582.677","0",""
"C36","22uF","TopLayer","C0603","801.181","844.488","0",""
"C35","100nF","BottomLayer","C0201","543.307","496.063","180",""
"C34","100nF","BottomLayer","C0201","523.622","533.465","270",""
"C33","100nF","TopLayer","C0201","283.465","740.158","180",""
"C32","100nF","TopLayer","C0201","429.134","68.898","270",""
"C31","100nF","TopLayer","C0201","594.488","118.110","90",""
"C30","100nF","TopLayer","C0201","429.134","118.110","90",""
"C29","100nF","TopLayer","C0201","594.488","68.898","270",""
"C28","1uF","TopLayer","C0402","748.032","236.220","180",""
"C27","1uF","TopLayer","C0402","748.032","354.331","180",""
"C26","1uF","TopLayer","C0402","748.032","472.441","180",""
"C25","1uF","TopLayer","C0402","275.591","1377.953","0",""
"C24","1uF","TopLayer","C0402","275.591","1259.842","0",""
"C23","1uF","TopLayer","C0402","275.591","1141.732","0",""
"C22","1uF","TopLayer","C0402","275.591","531.496","0",""
"C21","1uF","TopLayer","C0402","275.591","413.386","0",""
"C20","1uF","TopLayer","C0402","275.591","295.276","0",""
"C19","1uF","TopLayer","C0402","748.032","1082.677","180",""
"C18","1uF","TopLayer","C0402","748.032","1200.787","180",""
"C17","1uF","TopLayer","C0402","748.032","1318.898","180",""
"C16","100nF","BottomLayer","C0201","748.032","265.748","0",""
"C15","100nF","BottomLayer","C0201","275.591","1348.425","180",""
"C14","100nF","BottomLayer","C0201","275.591","501.969","180",""
"C13","100nF","BottomLayer","C0201","748.032","1112.205","0",""
"C12","100nF","BottomLayer","C0201","570.866","255.905","180",""
"C11","100nF","BottomLayer","C0201","452.756","1358.268","0",""
"C10","100nF","BottomLayer","C0201","452.756","511.811","0",""
"C9","100nF","BottomLayer","C0201","570.866","1102.362","180",""
"C8","100nF","TopLayer","C0201","657.480","653.543","90",""
"C7","100nF","TopLayer","C0201","505.906","496.063","0",""
"C6","15pF","BottomLayer","C0201","602.362","622.047","0",""
"C5","100nF","TopLayer","C0201","657.480","881.890","180",""
"C4","1uF","TopLayer","C0201","657.480","905.512","180",""
"C3","2.2uF","BottomLayer","C0402","440.945","801.181","180",""
"C2","2.2uF","BottomLayer","C0402","440.945","769.685","0",""
"C1","4.7uF","TopLayer","C0402","505.906","529.528","180",""
